id,transcription
0,HE HOPED THERE WOULD BE STILL FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FATTEN PIECES TO BE LAIDLED OUT IN THICK PEPPER TO FLAT AND SAUCE
1,STUFFED INTO YOU HIS BELLY COUNCIL HIM
2,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHLES
3,HOW BERTY AND HE GOOD IN YOUR MIND
4,NOW BUT TEN FRESH NOW HE IS WAITING ON YOU GOOD NIGHT HAS BEEN
5,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS OF SHELLIES FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS
6,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHERE ON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
7,A COLD LOOSED INDIFFERENCE REIGNED IN HIS SOUL
8,THE CHAOS AND WHICH HIS ARDOR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF
9,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE
10,WELL NOW AND THIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK
11,ON SATURDAY MORNINGS WHEN THE SO DOUBT AT HE MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHION KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES
12,HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLDINGNESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER
13,IF EVER HE WAS IMPELLED TO CAST SIN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER NIGHT
14,HE TRIED TO THINK HOW IT COULD BE
15,BUT THE DUSK DEEPENING IN THE SCHOOL ROOM COVERED OVER HIS THOUGHTS THE BELL RANG
16,THEN YOU CAN ASK HIM QUESTION ON THE CADICISM THAT LIS
17,STEPHEN LEANING BACK AND DRAWING IDLY ON HIS SCRIBLER LISTENED TO THE TALK ABOUT HIM WHICH HER IN CHECKED FROM TIME TO TIME BY SAYING
18,IT WAS STRANGE TO THAT HE FOUND AN AERATE PLEASURE IN FOLLOWING UP TO THE END THE RIDGENDS OF THE DOCTRINES OF THE CHURCH AND PENETRATING INTO OBSCURE SILENCE AS ONLY TO HEAR AND FIELD THE MORE DEEPLY HIS OWN CONDEMNATION
19,THE SENTENCE OF SAINT JAMES WHICH SAYS THAT HE WHO OFFENSE AGAINST ONE COMMANDMENT BECOMES GUILTY OF ALL HAD SEEMED TO HIM FIRST A SWOLLEN PHRASE UNTIL HE HAD BEGUN TO GROW IN THE DARKNESS OF HIS OWN STATE
